#TAG,NAME IN REPO (or git url),PURPOSE (should be a verb phrase to sound right while installing)
,sshfs,"mount tool"
A,slack-desktop,"Comm."
,nautilus,"File manager."
,xorg-fonts-cyrillic,"Cyrillic font"
A,screenkey,"pressed key shows on desktop"
,conky,"sys monitoring for x."
A,gstreamer,"sensor info."
,which,"linux tool."
,wget,"terminal download tool."
,volumeicon,"volum toolbar icon."
,vlc,"remote tool."
A,visual-studio-code-bin,"dev tool."
,virtualbox,"vmachine tool."
A,viber,"comm tool."
,vagrant,"dev tool."
,traceroute,"newtwork tool."
A,teamviewer,"remote desktop tool."
,tar,"archive tool."
A,staruml,"uml tool."
,subversion,"version control."
,speedtest-cli,"speed test terminal app."
A,skypeforlinux-stable-bin,"skype."
,screenfetch,"linux info tool."
,rsync,"cp tool."
,openssh,"ssh server."
,nodejs,"node js."
,mysql-workbench,"my sql workbranch."
,mps-youtube,"terminal yt player."
,mc,"terminal file browser."
,memtest,"memory tester"
,mariadb,"my sql db"
A,jdk8,"java jdk"
A,google-chrome,"browser."
,firefox,"browser."
,grep,"search tool."
,git,"version control."
,entr,"automate any process."
,cronie,"cron jobs."
,kdenlive,"video editor."
,gimp,"image editor."
,nnn,"terminal file browser."
,mutt,"email-client."
,qutebrowser,"web browser."
A,edex-ui,"joke."
,cmatrix,"screensaver (joke)."
A,s-tui,"stress/monitorin tool."
,glances,"terminal system mounting tool."
,ranger,"terminal file manager."
,lynx,"text browser."
,cmus,"terminal music player."
,i3-scrot,"screen shot."
,i3-gaps,"is the main graphical user interface and window manager."
,xorg-server,"is the graphical server."
,xorg-xwininfo,"allows querying information about windows."
,xorg-xinit,"starts the graphical server."
,noto-fonts,"fonts."
,ttf-dejavu,"fonts."
,ttf-inconsolata,"is the monospace font of LARBS."
,ttf-linux-libertine,"provides the sans and serif fonts for LARBS."
,vifm,"is an extensive terminal file manager that everyone likes."
,tree,"lists directory contents like trees. Used by vifm."
,arandr,"is a UI for screen adjustment."
,bc,"is used for a dropdown calculator."
,calcurse,"is a lightweight terminal-based calendar."
,xcompmgr,"is for transparency and removing screen-tearing."
,xorg-xprop,"is a tool for detecting window properties."
,dosfstools,"allows your computer to access dos-like filesystems."
,dunst,"is a suckless notification system."
,exfat-utils,"allows management of FAT drives."
,sxiv,"is a minimalist image viewer."
,xwallpaper,"sets the wallpaper."
,ffmpeg,"can record and splice video and audio on the command line."
A,gtk-theme-arc-gruvbox-git,"gives the dark GTK theme used in LARBS."
,vim,"vim"
,neovim,"an tidier vim with some useful features"
,i3blocks,"is the status bar."
,i3lock,"is the screen lock."
,i3lock-fency,"is the screen lock."
,mpd,"is a lightweight music daemon."
,mpc,"is a terminal interface for mpd."
,mpv,"is the patrician's choice video/gif player. (ls camera)"
,ncmpcpp,"a ncurses interface for music with multiple formats and a powerful tag editor."
,networkmanager,"does exactly what it sounds like."
,libnotify,"allows desktop notifications."
,canto,"RSS feed reader."
,newsboat,"is a terminal RSS client."
,firefox,"is the only program on LARBS your girlfriend has ever heard of."
A,ttf-emojione,"is a package that gives the system unicode symbols and emojis used in the status bar and elsewhere."
A,ttf-symbola,"provides unicode and emoji symbols."
,ntfs-3g,"allows accessing NTFS partitions."
,pulseaudio,"is the audio system (>inb4 bloat)."
,pulseaudio-alsa,"is an audio interface with ALSA."
,pulsemixer,"is an intuitive ncurses audio controller."
,imagemagick,"is a terminal image-manipulator providing some convenient shortcuts and the lockscreen in LARBS."
A,sc-im,"is an Excel-like terminal spreadsheet manager."
,htop,"provides system usage information and displays processes."
,maim,"can take quick screenshots at your request."
,socat,"is a socket utility."
,tmux,"is a terminal multiplexer and the dropdown window in LARBS."
A,unclutter-xfixes-git,"hides an inactive mouse."
,unrar,"extracts rar's."
,unzip,"unzips zips."
A,urlscan,"parses URLs in the terminal allowing keyboard-based selection."
A,xurls,"allows a user to select urls in the terminal via the keyboard."
,w3m,"is a terminal browser which can also view images."
,xcape,"gives the special escape/super mappings of LARBS."
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
,xorg-xdpyinfo,"aids with resolution determination and screen recording."
,youtube-dl,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,zathura-pdf-poppler,"zathura pdf plugin."
A,python-ueberzug,"generates image previews in vifm and other terminal programs."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information and is used by vifm as well."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool."
,highlight,"can highlight code output."
,xorg-xbacklight,"enables changing screen brightness levels."
A,task-spooler,"queues commands or files for download."
A,simple-mtpfs,"enables the mounting of cell phones."
G,https://github.com/lukesmithxyz/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/lukesmithxyz/st.git,"is my custom build of suckless's terminal emulator."
,docx2txt,"enables .docx file previews in vifm."
,odt2txt,"enables .odt file previews in vifm."
,virtualbox-host-modules, "linux kernel vbox ?"
,virtualbox-host-modules-arch, "linux kernel module for vbox"
A,ttf-ms-fonts,MS fonts
,libreoffice-still, Libre office
,transmission-cli, torrent tool terminal
,zip, zip tool
,noto-fonts-emoji,is an emoji font
V,font-symbola,provides unicode and emoji symbols.
,yarn, package maneger for node
,nvm, node version manager
,slock,allows you to lock your computer, and quickly unlock with your password.
A,lf-git,is an extensive terminal file manager that everyone likes.
A,zsh-fast-syntax-highlighting,"provides syntax highlighting in the shell."
,pamixer,"is a command-line audio interface."
,man-db,"lets you read man pages of programs."
